date,state,city_or_county,address,latitude,longitude,congressional_district,state_house_district,state_senate_district,participant_age1,participant_age_group1,participant_gender1,min_age_participants,avg_age_participants,max_age_participants,n_participants_child,n_participants_teen,n_participants_adult,n_males,n_females,n_killed,n_injured,n_arrested,n_unharmed,n_participants,notes,incident_characteristics1,incident_characteristics2,povertyPercentage,party,candidatevotes,totalvotes,year,city
2015-10-22,New York,Middleport (Royalton),Hartland Road,43.2192,-78.4792,27.0,144.0,62.0,42.0,Adult 18+,Male,42.0,42.0,42.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"respond to dv, choke gf, country singer tour under name ""Michael Wright"", 9 shot revolver found",Non-Shooting Incident,ATF/LE Confiscation/Raid/Arrest,13.2,,,,2015,
2016-03-06,California,Studio City,3700 block of Eureka Drive,34.1374,-118.374,30.0,46.0,18.0,63.0,Adult 18+,Female,63.0,63.0,63.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,a rifle accidentally discharged while being moved in a closet. Investigation continues. Wife of Eagles co-founder Randy Meisner,"Shot - Dead (murder, accidental, suicide)",Accidental Shooting,12.5,DEMOCRAT,205279.0,282604.0,2016,Los Angeles
2014-04-04,West Virginia,Stinson,Mud Fork Road,38.6574,-81.0743,2.0,33.0,2.0,40.0,Adult 18+,Male,29.0,34.0,40.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1mv,Shot - Wounded/Injured,,17.7,REPUBLICAN,72619.0,154250.0,2014,
2016-10-14,Arizona,Rimrock,4000 block of East Airport Drive,34.6528,-111.784,1.0,6.0,6.0,25.0,Adult 18+,Male,17.0,21.0,25.0,0.0,1.0,1.0,,,1.0,0.0,1.0,0.0,,Yavapai Co,"Shot - Dead (murder, accidental, suicide)",,14.4,DEMOCRAT,142219.0,280710.0,2016,
2016-07-21,North Carolina,Eagle Springs,200 block of Sandpit Park Drive,35.2977,-79.6724,2.0,52.0,29.0,27.0,Adult 18+,Male,27.0,27.0,27.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,,"Shot - Dead (murder, accidental, suicide)",,14.1,REPUBLICAN,221485.0,390567.0,2016,
2017-04-02,New Mexico,Cerrillos (Madrid),Wild Dog Rd,35.3905,-106.172,3.0,47.0,39.0,29.0,Adult 18+,Male,29.0,29.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Case #0217004525,Shots Fired - No Injuries,,17.2,,,,2017,
2017-09-02,Colorado,Aurora (Centennial),E Dorado Ave and S Malaya Ct,39.6115,-104.743,6.0,37.0,27.0,14.0,Teen 12-17,Female,14.0,14.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"shot in leg by stray bullet, hunting rabbit nearby, poss BB or pellet;
39.611510, -104.743176 ;",Shot - Wounded/Injured,Accidental Shooting,9.1,,,,2017,Centennial
2017-03-28,Illinois,Willowbrook (Burr Ridge),7545 S Madison St,41.7514,-87.935,11.0,82.0,41.0,,,,,,,,,,,,0.0,0.0,,,1.0,Man shoplifts black Century/Canik gun at gun store;,Non-Shooting Incident,Criminal act with stolen gun,10.4,,,,2017,
2017-08-25,North Carolina,Sherrills Ford,6700 Block of NC 150,35.5707,-81.0263,10.0,89.0,42.0,,,Male,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,Shot - Wounded/Injured,,13.6,,,,2017,
2014-01-23,New Jersey,North Bergen, 61st Street and Newkirk Avenue,40.7929,-74.0221,8.0,32.0,32.0,56.0,Adult 18+,Male,4.0,23.0,56.0,2.0,0.0,6.0,6.0,2.0,0.0,1.0,0.0,7.0,8.0,handgun,Home Invasion,Home Invasion - Resident injured,10.7,DEMOCRAT,61510.0,79518.0,2014,
